track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode
1X3I3nkeIQGsDzCYOurwkR,Inspirations - Extended Version,0.684,0.00808,0.748,124.989,0.742,-9.988,0.0741,353734,11,0.241,0.0398,0
4xZEEvW1L65BSUfftqRWOg,Xhale,0.541,0.00134,0.722,127.969,0.612,-8.338,0.27,273750,1,0.176,0.0298,1
4Wuhb6qTENf4xtIOzf0QGr,Border River Flow,0.768,0.0619,0.792,124.038,0.863,-9.863,0.0799,236976,5,0.577,0.0494,0
1Q3RNUOiJKH4x85KOFKG65,Blind Eye,0.736,0.121,0.673,131.988,0.858,-5.285,0.386,298000,7,0.329,0.0481,1
73rIC3DBCwd4T7IvEQWg73,don't see this,0.773,0.111,0.636,129.015,0.924,-10.084,0.0787,337137,0,0.492,0.048,1
6U9rAS28uOHyf5NZCYyt0J,Venera,0.58,0.041,0.846,122.021,0.925,-6.666,0.0878,227805,0,0.0823,0.0381,0
377KtQasdn4DggtcFLfkeg,Pearl 2,0.746,0.223,0.955,128.011,0.906,-9.243,0.105,318000,4,0.688,0.046,0
2PdVJw4ItQLSJcMA9VrUoS,I Feel You - Original Mix,0.796,0.089,0.761,89.987,0.0262,-7.85,0.0627,440368,2,0.619,0.139,1
61kGUwJrW6B9SPJBJSf7Sg,Filo,0.657,0.0268,0.623,125.999,0.855,-12.681,0.111,354604,2,0.0785,0.0345,1
2L0GFhQC5KSzBeOxL5901i,Longing For U,0.772,0.381,0.672,119.995,0.815,-10.497,0.0996,349857,11,0.0374,0.0549,0
2uUAW6qgya8keByF9mh3ui,Passed Tense,0.681,0.362,0.826,123.996,0.0132,-6.72,0.14,241087,8,0.549,0.0547,1
3RPrtaRukLoAulq4dpI1nA,Rain,0.764,0.111,0.855,124.997,0.859,-8.691,0.129,222320,6,0.426,0.0391,0
4x9l3fDzgvzg9t7Csbufrn,Defender,0.711,0.19,0.769,124.987,0.928,-8.113,0.146,374562,7,0.482,0.0364,0
4dkEsJGD9c5Z7OsacC6spw,Hang Up Your Hang Ups Version,0.622,0.501,0.566,154.763,0.539,-13.863,0.131,183187,11,0.513,0.206,0
54aj6Fe7vFlMbnBoPcMXRK,Derek And Me,0.697,0.024,0.614,110.003,0.23,-11.651,0.094,349294,11,0.48,0.0483,0
7u1Ma1e9KgiExaqQ2gU0Dm,Deft 1s,0.727,0.00927,0.665,138.012,0.845,-9.019,0.117,193000,4,0.155,0.0367,0
2adgaudYr759nP77rrWwiK,With U,0.704,0.069,0.747,122.009,0.965,-7.347,0.0446,299504,7,0.382,0.0676,1
0Ume2ALqcG0LDPecFmNgAV,f1 racer,0.656,0.983,0.203,143.915,0.772,-14.992,0.164,146720,10,0.419,0.0574,1
0vq5vqbGfNydG2XaSBVRxx,Always There,0.769,0.185,0.544,131.987,0.0371,-10.571,0.173,221846,5,0.555,0.0377,1
3HdUrpkAow3u2nX7ftTjOp,Floating Beams,0.616,0.014,0.704,115.013,0.802,-7.217,0.662,182810,1,0.19,0.0645,1
2CX7egnDEEXn9v3r8NUhxp,Pera,0.769,0.000292,0.846,126.015,0.00562,-11.215,0.0609,366899,1,0.373,0.0822,1
7JwilxLnrQBe3cFqjdmY9k,Joy Squad - Facta & K-Lone Remix,0.82,0.000322,0.5,124.987,0.887,-7.755,0.0883,251815,0,0.0892,0.128,0
6o3uuc2PnG9YJLLo97b8zk,Steppe noire,0.519,0.837,0.416,148.04,0.847,-17.774,0.101,297299,4,0.0948,0.0286,1
2FUPzuRcfp8xaJKkaHzTiQ,Golden,0.775,0.456,0.382,95.006,9.79e-05,-9.703,0.117,224842,0,0.776,0.0524,0
5w0N6wRgaPSwwpbzGMUqtu,Drive My Car (Kafuku),0.327,0.611,0.457,159.634,0.974,-17.292,0.37,219524,2,0.391,0.0294,1
4K9Qwo5S0dfxXiBv8nuGTR,All Werk Is Play,0.595,0.000968,0.623,79.975,0.0201,-10.238,0.186,123746,2,0.425,0.0973,0
1C1HXoQnkCAADnTJn1fXXi,Afterparty,0.721,0.0246,0.606,125.005,0.849,-8.68,0.0624,297141,7,0.15,0.0435,0
5gtm6zl1T2meGTS8hS0YRF,Another Year,0.822,0.363,0.785,124.996,0.523,-10.874,0.116,377933,5,0.16,0.0692,0
6HsUIbJFOJzuWgNNWVDHtV,The Sky Sings - Obas Nenor's Extended Dub,0.698,0.0704,0.559,96.985,0.196,-12.342,0.08,658376,2,0.383,0.0414,1
182TeWjHkx2zsB5kBTBJS1,The Sleeper,0.318,0.211,0.436,73.877,0.153,-7.832,0.114,231615,10,0.145,0.029,1
3Nn6tQg6gYqCMZR0IpiiFJ,"Baby, We're Ascending",0.429,0.00145,0.811,139.962,0.13,-7.91,0.502,387160,9,0.101,0.0468,1
7sIPjaEIz3puBvD9eLlSWs,Cold,0.579,0.00982,0.874,141.936,0.385,-7.775,0.0795,282349,9,0.0735,0.0446,1
1B3dZi98DVAdHCYwMual8B,Double Bend,0.771,0.000419,0.945,139.968,0.914,-7.93,0.0747,306137,1,0.649,0.058,0
5yiEvFextSviCStbutB8UI,Blood In The Snow,0.67,0.202,0.697,120.013,0.669,-7.052,0.171,286133,0,0.651,0.0292,0
4tAIZ4jqnYtuZwx5trVtbE,Bodies Of Water,0.394,0.00859,0.719,129.979,0.0257,-9.31,0.134,304307,6,0.107,0.0404,1
33pyOrXlhk1GGAUckBRbWA,Rough Air,0.47,0.878,0.315,180.054,0.923,-15.755,0.676,227230,4,0.139,0.0303,0
1kl4c9XnO8o7UTBcqWQJo5,When the Children Dance,0.327,0.295,0.516,119.992,0.359,-10.309,0.106,338444,11,0.199,0.0326,1
26chXKKR7oLwMVeMZOELo6,Recursion,0.739,0.0402,0.399,120.02,0.921,-15.516,0.0818,485841,10,0.0672,0.188,0
0meByrGhwxMB1fLV9EhCF1,Jobi,0.593,0.0544,0.716,132.009,0.888,-7.573,0.0936,381754,1,0.41,0.0406,1
7nqR4JqzSBmELk99Q5z6J2,Memory Screen + Fantasy,0.353,0.443,0.899,108.028,0.953,-9.529,0.461,228707,4,0.173,0.103,0
6bOCgEL5pfoOOUlGF9HNua,Inside The Freero Dome,0.787,0.196,0.23,122.012,0.889,-18.81,0.443,501991,9,0.515,0.0532,0
6ZynxqD0m0jIa1JDC4KPcu,Bedroom,0.569,0.645,0.771,126.98,0.934,-10.257,0.165,292911,8,0.176,0.0434,1
6dtObPFRUZ4eKsZZCp9ddZ,Hide and Seek,0.712,0.84,0.661,120.973,0.917,-12.371,0.108,309574,5,0.5,0.0484,0
5FdiUDLORFvwxzTvqqOrcC,Leave Here,0.609,0.501,0.586,123.991,0.953,-11.867,0.0918,297586,9,0.333,0.0341,0
098rzZcpw3Pd6lDHHy45X6,Wedding,0.731,0.011,0.869,129.991,0.896,-6.178,0.558,288125,4,0.393,0.059,0
3VRemRqHZi7qiWzJfc684f,Otomo,0.667,0.00409,0.841,125.994,0.856,-8.93,0.114,371520,4,0.0392,0.0423,0
0h6ENY9kDXxfbbfnX3onPR,What You Like,0.794,0.0398,0.543,124.009,0.783,-9.63,0.0858,193893,6,0.598,0.0519,1
2oIDZww61SUEmYd48m1tUc,Breathe In 191012,0.298,0.0436,0.511,116.861,0.827,-18.663,0.363,266381,8,0.112,0.359,1
0aAdjvLx7S9rgg7HRbLkxB,In My Sleep,0.623,0.0291,0.72,109.008,0.614,-10.649,0.271,501989,11,0.306,0.0363,0
1T46rPw0SECpM0bYMEJoEN,"Planet Ses, Pt. 1",0.328,0.304,0.387,81.702,0.685,-14.651,0.643,144221,1,0.176,0.0507,0
3r6jxrlgEeigDLEUtMuIE0,From The Seams,0.651,0.584,0.726,120.013,0.844,-10.596,0.11,257863,0,0.402,0.0597,1
42NPEbb30IfU6NLnPpLRQq,Into The Light,0.69,0.000531,0.866,126.011,0.854,-7.317,0.483,301062,11,0.131,0.0699,0
6wxsQyLhYrkjponLVdyYBi,The Battle Against Giants,0.819,0.0145,0.637,120.036,0.842,-9.542,0.061,292979,8,0.245,0.0365,0
4yYcbuP95sviOA60T9zVXf,Spirit,0.65,0.00473,0.819,120.015,0.775,-8.657,0.137,235377,11,0.719,0.0586,0
3aBSxEmw6Ww79Un5oC7xJU,L'Amour,0.69,0.183,0.742,119.984,0.899,-12.55,0.0865,368395,11,0.481,0.0893,0
