id,key,instrumentalness,energy,acousticness,danceability
4yFiV8qwdQ2n1cF1l4BYWJ,7,0.736,0.624,0.197,0.86
0TTkaLfS2hki3WGEf4gXfr,10,0.923,0.815,0.823,0.544
0gljB4tf7L1JztTaSBG3AN,11,8.83e-06,0.53,0.0113,0.825
6xHNcrzXu4SsqHazYSzMRK,6,0.818,0.817,0.105,0.687
389Clr9DJatdSJRUVhunYG,2,0.837,0.737,0.104,0.574
0gpMU1RQvZdPLLp8wpJzBF,11,0.876,0.914,0.0153,0.738
5PqTJr6Wn1WBW1NdlRmSQL,3,8.76e-05,0.49,0.145,0.561
2fIJ9GRxLhI1wMf017CF7Q,2,0.631,0.376,0.465,0.56
38vxstSXciei0IuEO2MoGI,1,0.264,0.67,0.535,0.718
6rFoXa2T7l7elYqXxYCvDz,5,0.68,0.407,0.809,0.83
1MNNFp9MUgIEbbK24oCmbf,6,0.0438,0.574,0.11,0.573
10b75UgPxnaE8caGoUlB2q,5,0.9,0.775,0.707,0.805
2XgqIg1xo9bvzyK0DEnqxN,10,0.88,0.0372,0.859,0.123
49KMGrpCasQj4bP7R27nEL,1,0.912,0.716,0.0211,0.615
4a5z3bW1U4I1priOzKP7ez,1,0.901,0.501,8.99e-05,0.765
5OBUmFuhkit7MYdaVZc2bs,9,0.493,0.596,0.518,0.434
20Q1NJcsDQthZNs1g3T6e7,1,0.0176,0.673,0.0206,0.712
7dVLHkc734gAHFg9uqV84k,2,0.895,0.922,0.0161,0.714
4CnTM4yeCex2Bf0ooctPs1,2,0.891,0.703,0.0342,0.59
5HAw7FMmW6DI9fqXDqdaLT,1,0.537,0.357,0.00615,0.785
3vaCAJ3PTryyBZEtHNCmNf,4,0.279,0.654,0.285,0.477
4uQWRd4rBrfAvLpB7Ko9lu,8,0.438,0.769,0.00328,0.808
1raUndN5SfPKzFETCbbwhH,6,8.47e-06,0.485,0.273,0.771
0GVgT3Y3ehqbIn4c0LJjhE,11,0.000479,0.697,0.308,0.659
6DBVVirWdJMhSGxeAkhj5m,7,0.936,0.318,0.99,0.59
79qMKLCEIM1WZLNg9YeykB,0,0.945,0.189,0.984,0.35
5sAlA1N2gmqqmUkqe8WIsa,3,0.855,0.795,0.201,0.706
5X90ZpkdxcPFquwlwUeKix,0,0.903,0.564,0.593,0.678
2y7an0zD7jCNw2MiM2u6OQ,0,0.0,0.427,0.592,0.681
6op3QtSUgYgeQo1F5PQD4D,6,0.845,0.662,0.0246,0.649
6yAxCaEgTD5oY8zKvHJgkI,3,0.0144,0.0866,0.989,0.416
79FRd4gq3o7yXSexLVsAFh,4,0.783,0.79,0.136,0.76
5E7Vu384i251zUafwizebk,3,0.00737,0.571,0.261,0.708
1LJP0CBP64Ve7NYun2kKNt,4,0.888,0.49,0.0761,0.82
3K49Hl9vCCmJgEeMtjZHA9,9,0.95,0.0158,0.993,0.341
4b6WRfxJRY40RBpl3TMQVq,6,0.9,0.961,0.000168,0.636
5VDnV2q6OrlrPsHsDZtIP1,8,0.871,0.902,0.0793,0.656
6UpWBI1nTv9PnqnGKuzIuT,5,0.888,0.512,0.000596,0.814
5MmKCuXDk2WTMjtdmIbApT,5,7.02e-06,0.609,0.688,0.597
3JpZBMzLz5OuxtJIIiOsTh,7,0.899,0.232,0.867,0.0692
39TFHOZblm2qQaOTyvEVJ6,3,0.912,0.181,0.938,0.195
5sICnSGfWkwVmIeD9WZ2Jk,1,1.63e-06,0.529,0.18,0.634
6HOLZtVDh5EgvPnW4z23n2,9,0.768,0.667,0.0567,0.454
2LJiw69NLNuwimnzGS5uIS,6,0.844,0.908,0.000157,0.613
3Yagxg6rtkwN01AYzA862i,5,0.906,0.18,0.988,0.545
5V28G1ktbqATUy4ioDzJZM,8,0.88,0.543,0.651,0.583
0ZVzN7tnseNSxtnAhTNK39,5,0.595,0.75,0.449,0.691
1uqOM1hQkfntTy2Wrl6qfi,2,0.501,0.869,0.144,0.672
3TNb4f7DjucnEFfb1eTGfi,9,0.91,0.127,0.979,0.251
1HMM306maOy44gGpRbyugs,1,0.81,0.126,0.992,0.297
3g5oI7fJYh9NaQMQ5x4ItH,0,0.885,0.914,0.0809,0.596
0pwYCGZE0qELSDnXyQBlWn,6,0.932,0.813,0.462,0.717
7D0e3LOMtsHW6Xalv2Tvln,7,0.22,0.51,0.0172,0.673
5IpgLo7O5eBLMPgoN4MBal,8,0.725,0.469,0.686,0.486
5JRxI8vQjnsbb2kRtHOGVj,8,0.838,0.565,0.624,0.576
5umBsHgpB2WsRA9ccQZGdz,1,0.892,0.7,0.0741,0.34
0Fs13LJdctI630wOhPcIO8,1,0.81,0.126,0.992,0.297
2C9FXEmMRN1sq3O7OaJrk5,10,0.922,0.862,0.00226,0.471
3aEsKfhk4cNr4XN3N1u8fa,4,0.973,0.325,0.915,0.407
4VPUoBWsKZE5V4REXje7PP,1,0.864,0.617,0.293,0.546
2gs3ytLZiqjY5xki3bAFLM,7,0.872,0.56,0.174,0.575
7Cjwgp1aDa7gcbWKJDQAgC,8,0.914,0.422,0.898,0.675
26z2X2YaHsFzdXjtVLEKUI,10,0.865,0.863,0.0489,0.584
20wMPnqHdNdBWaKRaMM7fD,0,0.176,0.537,0.69,0.638
7AILf7MVG0SEl6skEXhAar,1,0.817,0.813,0.00198,0.673
2StEq5J2bCq5JiwCKbansz,4,0.779,0.783,0.0079,0.63
5ilb0B5bZwMxS25e6SLrBb,11,0.87,0.792,0.00736,0.882
372r6JIBAJKawFG36x5iwC,7,0.738,0.399,0.0427,0.696
1yUauXd6aFxx9owxh4oTzB,5,0.538,0.203,0.268,0.958
4Tzw9IdZbVyzmpWrvsGaNX,3,0.156,0.314,0.108,0.862
0EDAZsV2t4Lh42R0mhjmXj,1,0.00883,0.843,0.0757,0.643
6afQwMSRq70Wyjn5Y086Hu,2,0.131,0.644,0.11,0.683
0YEhCWvpro9aFECqS9u3oh,6,0.89,0.652,0.0474,0.834
7BXLth3yTGwInORorxN34m,9,0.872,0.202,0.866,0.164
4RHMC3OE3oBpS32peJ6tR6,6,0.344,0.826,0.0845,0.709
6b7d99kMJZFEhGIJhKLbhi,2,0.901,0.596,0.00131,0.564
6V7qqM8vNL6mtMiQSeWPIF,2,0.514,0.254,0.387,0.373
0kdo72ihFRlpgrBarCVQEz,6,0.0,0.691,0.607,0.681
36apwMphkcaS63LY3JJMPh,3,0.326,0.703,0.187,0.663
5kzM27JyTjAzqS0qimDXu6,1,0.954,0.532,0.517,0.178
1SzNdQXN0x15dIqpAfoH4U,0,0.0533,0.115,0.896,0.386
5dRHgznMSoyqJO7bXqnxTx,11,0.861,0.51,0.694,0.703
6eLNnJwSlwEStbIAZVAYzd,0,0.351,0.82,0.0948,0.449
75WXKQGbaT0mi6GZItcVVJ,4,0.161,0.903,0.517,0.73
2B32tq6y3LxOnV9OkCZLOe,10,0.0221,0.383,0.894,0.662
737JcpWdPxUDNKjzEM8FzP,3,0.895,0.0272,0.98,0.197
0uMD0CaCxiTwgVZhN5paQf,1,0.49,0.0698,0.273,0.237
0GTNCbsy40iRO0LLvM7YaY,6,0.919,0.264,0.258,0.169
1zOpk9fyWgFFf0HRrTPQBt,9,0.00237,0.159,0.851,0.651
4bzd4evyqXabRtesx4emPn,1,1.07e-06,0.527,0.373,0.687
4C4Cni4yKvGFthrJ3VRjfM,5,0.925,0.0541,0.916,0.156
0mGitB0vwTpuSd9A6hCYji,7,0.837,0.883,0.0134,0.628
7Gq5I9cQZuFJAWmXRcqo3x,0,0.909,0.854,0.00141,0.617
5teYCP3pROESCEaASCVf5w,1,0.366,0.477,0.886,0.684
2I1S479pqGIi9Uq9eNYg4F,5,0.892,0.16,0.923,0.142
0dztHJ3bdxWvjYQMNKVCp1,11,0.553,0.904,0.0409,0.659
3BjygBarJk0ZDwEooe1ccf,11,0.0229,0.708,0.00252,0.66
506h8jAKfteka7hTvJxVur,9,0.798,0.595,0.893,0.727
6aLXTJc7YNCjxzx7EFY1b6,1,0.922,0.887,0.000251,0.584
5fSj4R5pbXqqznMwRdJxJi,11,0.892,0.821,0.0518,0.772
5Z6b7Mp2q7RPOkVKXVAGFM,7,0.895,0.248,0.0502,0.256
664jBL8NgKFYdiMK9bnCcz,3,0.943,0.844,0.0926,0.539
37ioI91Z4S0E9WKaFKJoOX,7,0.785,0.91,0.00559,0.416
72Qk0QaYUl6i29FDWQDmwU,11,0.0,0.363,0.915,0.619
49S3gm8TO3MclqPIYUAG2F,10,0.298,0.254,0.865,0.191
3dQiW5N2mVmYSmpI2suOIA,9,0.931,0.307,0.715,0.364
3yMem9r5sAf6qYnLfORjle,10,0.00332,0.423,0.0841,0.672
21eGoFRZOXb5goqCsscGGf,10,0.0108,0.0804,0.916,0.506
2URXBdx9353u9BxBHQoD7K,0,0.873,0.584,0.406,0.806
25O3YsHYgrYcFYEOrediFn,4,0.891,0.112,0.879,0.488
