track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode,play_number,playlist_number,tempo_scaled
6PhLFtMxC1L0e8NbYyJUyr,Lovely Summer Dreams,0.703,0.234,0.643,123.022,0.718,-9.474,0.113,197140,9,0.216,0.0323,0,900,0,0.5980447918641564
7LNGAwIYUmJJC6O6omv95A,RUMMELSBURG,0.592,0.03,0.817,137.0,0.801,-8.251,0.0774,207532,8,0.69,0.0348,1,901,0,0.6659958095738113
1ZtYQ0Xa0FceWOEYOjshui,The Difference - Extended,0.657,0.019,0.906,160.024,0.039,-2.435,0.278,237155,1,0.56,0.0654,1,902,0,0.7779219958484641
6ARA9XhvZ9WxrNHbsxwweQ,Orchid,0.79,0.545,0.387,115.991,0.888,-14.232,0.118,197444,6,0.147,0.0555,0,903,0,0.5638651091115032
7KQUZd6GvJ1019lwvRMM52,04:59,0.824,0.384,0.682,140.003,0.000594,-9.835,0.0938,188958,6,0.426,0.247,0,904,0,0.680594243268338
0mnXRwO9ggGDcvDvkPFqip,Celeste,0.799,0.000434,0.703,128.011,0.92,-10.751,0.113,389627,11,0.227,0.051,0,905,0,0.6222977341558624
4GWzNH5kvw0LwPBd0u92uV,Lay It Down,0.797,0.0103,0.621,130.001,0.908,-8.727,0.11,354893,9,0.417,0.0651,1,906,0,0.6319716878861682
5L1GLcQYtbhuwiABsSU1lA,Long Range,0.8,0.000936,0.879,127.003,0.86,-8.453,0.0701,336643,1,0.333,0.0534,0,907,0,0.6173975606080493
1V2GJrA1oKpYyt9iZ3tq79,Folkdance,0.778,0.0213,0.547,127.015,0.904,-13.031,0.0971,347717,7,0.415,0.189,1,908,0,0.617455896007428
1PHSEwPYat1JJVTDnL3dxc,Lions Chest,0.853,0.0124,0.947,127.058,0.806,-6.701,0.117,337158,11,0.228,0.116,0,909,0,0.6176649311885352
2tKrgHrif6X2BVYc83oGsT,SFTM008,0.798,0.00699,0.764,121.009,0.54,-8.052,0.0935,287330,2,0.211,0.059,1,910,0,0.5882590286183746
3UL0FmsFZjcw5zsE5gPx3T,Dusty,0.704,0.0137,0.968,140.003,0.893,-6.819,0.106,497143,11,0.0748,0.0599,1,911,0,0.680594243268338
0WecmAXueQvZ5fvZ532Gab,Fiesta - Radio Edit,0.804,4.63e-05,0.991,129.026,0.918,-6.682,0.061,100000,1,0.668,0.0392,1,912,0,0.6272319366866466
3sn7UM54xyAUjfR9rNxZwp,Freedom 2,0.823,0.0551,0.646,140.059,0.0,-5.886,0.172,206931,11,0.474,0.058,0,913,0,0.6808664751321054
2a4e7rYUxetLcml8QRSJPQ,Sawyer Lowery,0.654,0.181,0.75,139.999,0.909,-14.127,0.392,63429,7,0.815,0.0755,1,914,0,0.6805747981352117
59QNyVtGhYoDnpO6T1e4yR,Otomo,0.667,0.00409,0.841,125.994,0.856,-8.93,0.114,371520,4,0.0392,0.0423,0,915,0,0.6124925257769546
2YOvLADZoD1EFAOhEoY4El,In my xxx era,0.746,0.536,0.836,140.027,0.898,-14.781,0.112,174857,5,0.929,0.0364,0,916,0,0.6807109140670954
5C8ZVCqSWQluWHXsTdLCOW,Stone,0.673,0.0178,0.976,139.981,0.00829,-4.442,0.118,182270,11,0.584,0.0741,0,917,0,0.6804872950361436
7tPyRn8vDPcKw7icflaGuB,Reach for Your Worries,0.782,0.00487,0.987,138.012,0.815,-14.812,0.255,112665,1,0.948,0.0715,1,918,0,0.6709154282547507
1IUQLvfawMboTh5G2wEZGR,Balancing - Radio-Edit,0.8,0.0211,0.706,127.012,0.873,-10.228,0.162,151303,11,0.104,0.055,1,919,0,0.6174413121575834
6QDDTgfMMVfQ49wd2vJ4aR,Ride the Night,0.768,0.000129,0.92,128.004,0.895,-7.468,0.103,330223,9,0.191,0.0541,1,920,0,0.6222637051728915
5ai97hAB5rHiV2luX5NWw5,Somewhere Near Marseilles ーマルセイユ辺りー,0.705,0.0163,0.744,114.002,0.195,-7.692,0.083,714585,5,0.394,0.033,1,921,0,0.554196016664479
5ovPjYrQIeWBItbtG2r2w5,Turbo Ride,0.797,9.86e-06,0.942,131.962,0.945,-8.932,0.0938,285864,10,0.329,0.0575,0,922,0,0.6415046644013086
0IRDLaO3ng5eyl4Po8hZXj,summer on the inside,0.833,0.45,0.822,120.788,0.635,-7.862,0.479,205166,7,0.784,0.0702,0,923,0,0.5871846850131498
0Ex4dfzYtS1tgoubw8jLod,Get Down,0.756,0.000941,0.867,140.003,0.393,-7.594,0.077,241825,1,0.518,0.0482,1,924,0,0.680594243268338
4k6F1rhUBBN7F1ZfjkzutZ,Burnin',0.845,0.206,0.77,124.966,0.833,-7.215,0.161,246480,9,0.408,0.157,0,925,0,0.6074951265635102
3P8ZRfeuPf5z4Lt9nXD5Cz,More Love,0.727,0.000331,0.82,124.001,0.436,-8.806,0.0421,390853,5,0.746,0.0448,0,926,0,0.6028039881968043
0JSDjKJ1VJwmRwW35I3OYH,Danse Cette Zik,0.763,0.137,0.751,124.036,0.482,-11.201,0.0931,259193,7,0.966,0.0504,0,927,0,0.6029741331116588
4n9lVLJfHKtu7ogdcTOUdZ,Right Here! Right Now!,0.839,0.0323,0.397,113.99,0.851,-9.727,0.0685,271505,7,0.822,0.0529,0,928,0,0.5541376812651003
0IeewVx7uIroZcDnMfcnia,Baile Muerto,0.804,0.0166,0.856,121.002,0.773,-9.003,0.0783,367040,2,0.253,0.0506,1,929,0,0.5882249996354038
34x6hEJgGAOQvmlMql5Ige,"Danger Zone - From ""Top Gun"" Original Soundtrack",0.544,0.241,0.897,157.17,0.0,-6.056,0.13,215133,3,0.647,0.0471,0,930,0,0.7640478933628899
3WYVYoA0Usk0trYlSrGQWR,For Emotional Use Only,0.743,0.000204,0.822,129.017,0.738,-7.086,0.0646,374638,6,0.691,0.0376,0,931,0,0.6271881851371125
3MXmUXRFXn4ydAVrYPV0N2,Houston We Have a Problem,0.804,0.0578,0.756,116.998,0.815,-8.034,0.0584,445408,6,0.213,0.053,0,932,0,0.5687604213760349
3hOomjOe501BlNVcs0gj5O,Factory Music - Slam 101 Interpretation,0.678,0.00343,0.786,127.005,0.932,-12.828,0.112,429329,1,0.193,0.05,1,933,0,0.6174072831746125
40tYY6O9fgxJVp4DFMkJ0Y,World Gone Mad,0.599,0.00521,0.988,132.049,0.604,-4.03,0.0953,264725,1,0.257,0.0599,1,934,0,0.6419275960468045
7ydNIRPI41BfDqtQT1F4fo,Electronic Generations,0.776,0.0213,0.99,135.018,0.932,-7.278,0.0722,322845,4,0.239,0.118,0,935,0,0.656360746109758
44RXQqMYf3lu74x8iv3v75,Body,0.546,0.000335,0.966,132.997,0.882,-5.007,0.153,351399,1,0.701,0.0643,1,936,0,0.646536092597724
55g2IGNdPK7dnOkFtttmOB,Superfly,0.822,0.000641,0.614,127.001,0.84,-9.596,0.0856,177781,11,0.438,0.14,1,937,0,0.6173878380414862
0233tCHQ7wju5xzpQfeb5s,Bear,0.711,0.15,0.816,125.027,0.859,-8.369,0.128,311000,1,0.265,0.0857,1,938,0,0.6077916648436854
4Gdmlvy15THA5StJnvik9W,Slack It Off (Rolling Thunder Offline Edition),0.468,0.000258,0.875,120.021,0.882,-6.974,0.111,338299,0,0.277,0.0903,1,939,0,0.5834560807361927
07l6ZPRhP8mtMypwUzgd0h,Toys Out of the Pram,0.794,0.00688,0.786,132.0,0.946,-10.907,0.0708,503068,1,0.441,0.0424,1,940,0,0.6416893931660079
