track_id,track_name,danceability,acousticness,tempo,instrumentalness,energy,key,speechiness,mode,valence,liveness,play_number,playlist_number
7xKYBm1eBxxGsj9PvkLhFu,Can't Find It (The House Sound),0.844,0.204,120.001,0.834,0.353,6,0.0756,0,0.0657,0.099,14,3
79GFKFraKaZAqMUdt9g1nG,Path of Ruin - Pain Mix,0.706,2.48e-05,123.001,0.864,0.712,6,0.051,1,0.0477,0.109,15,3
0oHp0oW3RhkwBuNSDFY1Jq,One More Fluorescent Rush,0.612,0.00318,124.877,0.891,0.984,10,0.0337,0,0.405,0.112,16,3
5TYtHdPWEp4LdvfrXGd8jG,Arc - Mixed,0.713,0.00121,120.022,0.89,0.537,4,0.0464,0,0.116,0.113,17,3
72hNRsk1d6yo98UTzZjZiT,U Hold Me Without Touch,0.663,0.488,127.025,0.837,0.707,5,0.0431,0,0.256,0.129,18,3
5qGiFVD3CVWGBGYJxEygLE,Glue,0.853,0.0158,129.983,0.948,0.798,4,0.068,0,0.42,0.0967,19,3
4uayzCHBoZ1cpTSpMmdMXB,Blurred - Bonobo Remix,0.678,0.0577,124.99,0.865,0.629,1,0.0442,0,0.305,0.111,20,3
5OnAqnPnW4ME8BUMW8ZRcw,Praying Mantis,0.793,0.00265,132.001,0.906,0.615,11,0.071,1,0.15,0.12,21,3
4Tg0ra2NwFahHXiboKtfPW,"Showreel, Pt. 2",0.274,0.06,92.635,0.689,0.787,8,0.0495,1,0.143,0.133,22,3
5FseKiInHwPP0noCzoBmc8,Sacred Rowan Grove,0.423,0.089,120.047,0.694,0.905,8,0.0961,1,0.352,0.343,23,3
06xHJ8x3p0Kaw1zYfevxSA,Stretch Your Eyes - Quiet Village Remix,0.579,0.429,120.004,0.901,0.411,1,0.0352,1,0.0386,0.105,24,3
7FLWpgPAF99CZvGcNBGwGU,Why so Angry,0.7,0.195,125.019,0.693,0.726,6,0.0569,0,0.21,0.101,25,3
1xvhO2IhKqdWjtUjOVRebg,Verso,0.488,0.947,136.542,0.953,0.45,3,0.033,1,0.168,0.123,26,3
0THutYP9Uqq75bogKFuoXL,Eden (Harlem),0.0794,0.614,81.682,0.86,0.201,10,0.0406,1,0.0412,0.108,1,4
52D4vLqcr5Nvnzb4GVyZlp,Blackbird,0.386,0.896,90.425,0.0533,0.115,0,0.0476,1,0.143,0.11,2,4
5sQVDkkGxoxGcRJ0MkjblB,Brown Oxford,0.748,0.0717,119.992,0.748,0.723,3,0.0469,0,0.55,0.117,3,4
6hTU0FvBzbtQXNOCfBRfr5,Never Forever,0.627,0.00302,119.992,0.911,0.885,9,0.0385,0,0.443,0.51,4,4
2yNmtP6AH5ovZkPsQ4v4JB,Yes,0.808,0.311,119.986,0.869,0.752,7,0.0566,0,0.819,0.0804,5,4
35q9WuDJDnXhhvDhXtdhZb,Are You Jazz?,0.799,0.00983,114.993,0.913,0.661,1,0.058,1,0.466,0.0307,6,4
4nfhLo8wrMNKjcPEenGzX4,Continue the Fun - Space Version,0.809,0.199,119.884,0.906,0.612,11,0.0648,1,0.796,0.102,7,4
0DLIOuDOFFeYNumZUQpPLP,Heyyeh - Tom Blip Remix,0.81,0.000688,120.014,0.856,0.669,6,0.0817,1,0.056,0.0613,8,4
4RHMC3OE3oBpS32peJ6tR6,Final Days - Bonobo Remix,0.709,0.0845,116.99,0.344,0.826,6,0.0404,0,0.337,0.0975,9,4
6vDXDAEr10LtUrMWAhoVxb,Snowing Throw – Lose Again,0.883,0.0072,125.061,0.878,0.791,11,0.0699,0,0.17,0.119,10,4
61xP4MEK3Ql5qOuUzRlc90,Why? - DJ Seinfeld Remix,0.541,0.0234,119.043,0.78,0.886,10,0.0588,1,0.0942,0.14,11,4
7sJGy4DgzbGim6hcdw04Fc,Green Wine,0.807,0.135,120.034,0.824,0.717,8,0.058,1,0.305,0.137,12,4
3OW0DWxx56Wsc5wHfnNmM2,Like This - Full Mix,0.815,0.000141,132.017,0.6,0.785,0,0.0628,1,0.584,0.216,13,4
1ZD8vZkXOcnwFjCqFQuzs9,Werk,0.819,0.000161,130.011,0.863,0.958,1,0.145,1,0.446,0.053,14,4
4DUxuMpejTtuE6P1PmSXPv,Ndebele,0.799,0.0188,126.034,0.835,0.991,10,0.0566,0,0.898,0.301,15,4
1hwAguis3pTqmmQ7HGNqW1,Tiger Song,0.681,0.607,125.906,0.0,0.691,6,0.294,0,0.464,0.147,16,4
5m7a3ZWjnxnSNFKemsVI3e,Loneliness,0.789,0.00716,130.016,0.598,0.879,10,0.0466,0,0.654,0.0752,17,4
0QqYOijjEVRpf2ePgB1tVU,Pearls,0.682,0.152,124.974,0.916,0.732,9,0.0596,0,0.755,0.486,18,4
5VL0XgIWhkAa27vDAbeVGN,Temples,0.434,0.0108,170.698,0.834,0.479,1,0.0784,1,0.0892,0.14,19,4
1dL5WXVruORU0nUao9bgzC,Timber - Maceo Plex Remix,0.839,0.00209,128.008,0.0598,0.61,1,0.0338,1,0.0534,0.0901,20,4
62gvCFP2ENmOSFG35MVF1M,Long Gone,0.768,0.446,128.991,0.624,0.569,11,0.0618,1,0.476,0.0521,21,4
4vqd46ciwGymoMsu8myjyk,Mesablanca (O'Flynn & Ekhe Dub),0.697,0.000857,129.998,0.844,0.883,1,0.0655,1,0.294,0.163,22,4
7g5z9oXwEGwOPqofm4yj3i,Træns 5,0.566,9.71e-05,124.008,0.281,0.88,7,0.0551,1,0.881,0.089,23,4
38s6iiOu26spsFZKj8BtfM,Demba,0.715,0.114,128.043,0.138,0.639,2,0.104,1,0.522,0.0963,24,4
1Ug6EyZPY7VgW4eO3Z5UFx,Ouin,0.824,0.029,127.024,0.928,0.49,9,0.105,0,0.549,0.108,25,4
3AaGCSpUFAmtB1XGxz5IWk,ATK,0.705,0.00471,127.983,0.855,0.881,7,0.0625,1,0.584,0.0512,1,5
6ilWOSGCIpyRCnVUZsSbEB,Sadhana,0.73,0.045,129.965,0.712,0.891,1,0.0701,1,0.976,0.186,2,5
1v3ooF930KR3W7VlM7Mzbl,Pressure Roll,0.731,1.2e-05,130.004,0.914,0.945,7,0.238,1,0.406,0.0288,3,5
3yaAqfGcXeC02j88iaoebG,Fold,0.792,0.0485,128.002,0.84,0.861,2,0.0476,1,0.0869,0.107,4,5
5HWybXhMxw8W8t0sUPysxf,Need You,0.692,0.372,128.025,0.698,0.659,6,0.0428,0,0.276,0.0686,5,5
49vNlVxrCBf5WwUCDySVuN,Blood In The Snow - Tibi Dabo Remix,0.79,0.0132,130.99,0.859,0.715,0,0.0476,1,0.47,0.0746,6,5
3MOhipHFUkGpS0rV7cKrJO,Rosewood,0.757,0.0668,121.009,0.485,0.637,10,0.0432,0,0.429,0.191,7,5
0yUaLqhsVsguBpoOPL4cO7,In Ha Mood,0.767,0.678,141.075,1.1e-05,0.722,0,0.31,1,0.52,0.231,8,5
4vworrZL7bZN3Jk4Yh1GJt,Move Your Body (Elevation) [Club Mix],0.709,0.000149,121.97,0.0183,0.76,0,0.0397,1,0.674,0.351,9,5
67Hp634KZbo9B5WMsJOalE,It's a Fine Day,0.606,0.115,125.007,0.0547,0.955,1,0.0462,0,0.285,0.15,10,5
0JL9dXZ2tjMabWjVjeutKH,Polyghost,0.298,0.927,127.917,0.847,0.228,3,0.0367,0,0.0839,0.11,11,5
0wUIiILb3unP1LWA91POJn,Clap Clap,0.798,0.00349,127.993,0.896,0.954,0,0.0856,1,0.233,0.0476,12,5
2jPGZrgcptxJpFV5FXeFZX,Joy,0.777,0.165,123.003,0.86,0.705,5,0.0639,0,0.454,0.157,13,5
6dsZAzOrP9af5rmzGl9Tlr,Lam Phu Thai # 1,0.494,0.356,97.767,0.986,0.579,7,0.041,0,0.773,0.33,1,6
4j69YUUEOMwYZqkZjNOXZu,Time Eater,0.622,0.0683,119.958,0.779,0.888,6,0.0449,1,0.408,0.254,2,6
6gq23eytXyqTtpssL2XORu,Ritual,0.526,0.66,35.694,0.558,0.245,10,0.0327,0,0.289,0.113,3,6
7rSSc78daZLuk6cvE2onJk,Jnt,0.701,0.0782,122.942,0.872,0.544,8,0.0748,1,0.0792,0.11,4,6
5p0Qo3kg0tULw2rcRpqi1e,J.B.Y.,0.643,0.647,95.019,0.848,0.633,7,0.0418,0,0.136,0.109,5,6
43a5eytnLzXlKdmf8JB9er,Mechanical Turk (Courtesy of Karpov not Kasparov),0.625,0.0182,113.022,0.771,0.633,2,0.0403,1,0.676,0.0499,6,6
1enynlph69y9FEW7NVhkO3,Csay Csay,0.73,0.218,113.274,0.472,0.601,6,0.0422,0,0.0625,0.0652,7,6
4Yiy714hPjl1kVoOgQirz0,Sounding Line 3,0.817,0.0894,115.015,0.818,0.672,10,0.0552,0,0.493,0.136,8,6
4i15m6DrqNMC8WPllDn3hl,Atomic Bomb - Cover,0.834,0.0145,125.798,0.27,0.56,8,0.044,0,0.778,0.446,9,6
5QdpQ25GDopAj9Crq1J8l0,Kiburu's,0.742,0.0236,119.997,0.00165,0.924,1,0.168,1,0.746,0.357,10,6
4rn7EkBbUgbI7szafLYTUx,See Some Light - LowHeads Night Mix,0.807,0.000714,118.985,0.687,0.838,7,0.0518,1,0.134,0.105,11,6
5eaAfrNGUeCpV9m6WETbrW,Umami,0.777,0.0303,120.015,0.576,0.888,1,0.0404,1,0.47,0.0873,12,6
7CuagiGvDjxrIXka5R2fGu,Desmond's Empire,0.758,0.0515,120.01,0.0861,0.672,11,0.0455,1,0.178,0.114,13,6
3tTShgfoXI7p9wN6o9F1T8,Velvet Coffin Pt. 1,0.293,0.524,92.278,0.367,0.76,6,0.308,1,0.119,0.14,14,6
