track_id,track_name,danceability,acousticness,tempo,instrumentalness,loudness,key,speechiness,mode,play_number,playlist_number,tempo_scaled
7pmhk6JO19qgpI6nWk6hpo,Xumba Xumba - Eden Burns Remix,0.754,0.000918,126.004,0.926,-7.446,2,0.0484,1,88,0,0.5079843739291344
5UVwqwrWsVLjjPvOOZkHem,Don't Stahp - Edit,0.801,0.0198,128.002,0.853,-11.873,1,0.0694,1,89,0,0.5160392990038178
2tn1s4oIr4VziLFVkHRp9y,Ketamine Boogie,0.747,0.105,124.005,0.468,-13.681,11,0.0426,0,90,0,0.49992541736041957
46n0wrSJEaMogpv54UWFgi,Shaker,0.788,0.15,122.979,0.907,-10.293,10,0.0677,0,91,0,0.4957891044842308
5aAhK5paanv8MAM9goo9Fi,Joy,0.808,0.000663,130.013,0.836,-11.52,6,0.0619,0,92,0,0.5241466335009091
2fGRJzoiYJYAzlQAyBONMb,Morning Sex,0.81,0.0473,124.991,0.000104,-9.536,6,0.0437,1,93,0,0.5039004704753535
1SNbKSraeBuFBuHeSpHLis,Magnetic (Starlight Remix),0.793,0.104,130.96,0.00393,-4.283,6,0.0653,1,94,0,0.5279644583486194
3FTtAV8d9qHyMjlvAGOPdu,e-motions (with Erika de Casier),0.796,0.671,128.0,0.0272,-5.901,10,0.034,1,95,0,0.5160312360157551
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),0.636,0.0458,146.009,0.0,-4.495,2,0.055,1,96,0,0.5886344120267529
54DvEccR0kKBdrGPbBnWai,Dance of the Crab,0.647,0.0582,121.994,0.205,-7.126,8,0.0532,0,97,0,0.4918180828633283
5p222zIkd68fhu1BWj9umv,Working Night - DJ Rolando Remix,0.789,0.201,133.003,0.926,-7.412,8,0.0484,0,98,0,0.5362008006547145
3xxARypr8NdEMesYUHSsGK,Knights of the Jaguar,0.679,0.00698,137.668,0.858,-6.811,2,0.0411,0,99,0,0.55500772031107
7lxbCUxQXJRkPQ1eErYZd3,Raw - Tony Romera Remix,0.865,0.392,128.005,0.877,-5.03,0,0.087,1,100,0,0.5160513934859119
0kQR814yrWyoGFXEkO0WbP,8th Movement,0.867,0.00103,126.012,0.897,-8.947,9,0.0575,0,101,0,0.5080166258813854
6J2zFZjhH4YkGPd4ImXeL4,Equation,0.629,0.000284,123.989,0.881,-10.9,0,0.0395,0,102,0,0.49986091345591765
3F1hU8F97UoVouQRgasdM4,I Can Never Be Yours - Hot Version,0.63,0.000401,125.988,0.944,-8.352,5,0.0361,1,103,0,0.5079198700246325
3hpqxopZ1F42AkQTTWaSpF,Blind Sequence,0.808,0.000432,123.01,0.897,-14.472,6,0.0462,1,104,0,0.4959140807992034
11f1YJSbvi4PdYc9WwHI3h,Adamntium,0.807,0.00048,126.008,0.899,-12.704,11,0.0647,1,105,0,0.5080004999052599
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,0.849,0.0982,138.003,0.000215,-5.106,1,0.0436,0,106,0,0.55635827081158
3AntMecs7ThSZLnr2o8r78,Cycling,0.753,0.0175,143.018,0.883,-6.796,6,0.0537,0,107,0,0.5765762133789161
6vrsFaISBLBKzQGZmqDnxK,Lobster Telephone - Edit,0.714,0.00258,129.974,0.0495,-6.419,6,0.0339,0,108,0,0.5239894052336855
2tEXoo3FtGUBjjgabDBrsJ,Hot!,0.805,0.000169,127.996,0.924,-12.221,6,0.0556,0,109,0,0.5160151100396295
4Ma26Q71jUSOr9jdoRIYtg,Lip Biter - Mixed,0.835,0.00464,125.973,0.732,-14.02,1,0.0856,0,110,0,0.5078593976141618
7MJoleopJoAcQey2K2Z5Kg,Teaspoon La Qoh - Mixed,0.791,0.00279,129.384,0.927,-17.914,4,0.0723,0,111,0,0.5216108237551753
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,0.743,0.0039,123.596,0.118,-7.807,4,0.0683,0,112,0,0.498276536301588
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,0.692,0.225,125.135,0.0,-7.498,0,0.0317,0,113,0,0.5044810056158712
37Y0dT6HzzOrbjrrq3pwTy,In A Daze,0.752,0.000327,125.01,0.855,-7.471,6,0.0482,1,114,0,0.5039770688619496
0PH13t13nWIpOba6Jr0Cxq,Echo Shaper,0.752,0.000185,128.032,0.799,-4.119,11,0.0495,0,115,0,0.516160243824759
